0C004B00,0C00D880,0C00DAF8,0C011320,time
01,02,03,04,20.18.12
01,02,03,04,20.18.12
01,02,03,04,20.18.12
01,02,03,04,20.18.12
01,02,03,04,20.18.12
01,02,03,04,20.18.12
01,02,03,04,20.18.14
01,02,03,04,20.18.14
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.15
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.16
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.17
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
01,02,03,04,20.18.18
